"",""," (1) ",""," (2) ","","(1)-(2)"
"","","Control","","Treatment","","Pairwise t-test"
"Variable","N","Mean/(SE)","N","Mean/(SE)","N","Mean difference"
"Number of members in the household","878","3.98","880","3.98","1758","0.01"
"","","(0.09)","","(0.09)","",""
"Number of childeren below or equal to 5 years of age","878","0.47","880","0.47","1758","-0.00"
"","","(0.03)","","(0.03)","",""
"Number of Elderly (> 60 years)","878","1.33","880","1.20","1758","0.13***"
"","","(0.02)","","(0.02)","",""
"Annual food consumption value (USD)","878","244.85","880","228.20","1758","16.65*"
"","","(6.59)","","(6.21)","",""
"Annual food consumption value (USD) (Winsorized 0.05)","878","235.41","880","220.30","1758","15.11**"
"","","(5.64)","","(5.22)","",""
"Annual non-food consumption value (USD)","878","60.69","880","48.01","1758","12.68***"
"","","(3.46)","","(2.76)","",""
"Annual non-food consumption value (USD) (Winsorized 0.05)","878","51.12","880","42.34","1758","8.78***"
"","","(1.91)","","(1.69)","",""
"Farm area in acres","807","1.87","813","2.11","1620","-0.24*"
"","","(0.06)","","(0.12)","",""
"Farm area in acres (Winsorized 0.05)","807","1.77","813","1.84","1620","-0.07"
"","","(0.04)","","(0.05)","",""
"Balance treatment control","","","","","",""
